Ref_ID,Ref_DOI_number,Cell_stack_sequence,Cell_area_measured,Perovskite_composition_a_ions,Perovskite_composition_b_ions,Perovskite_composition_c_ions,Perovskite_composition_short_form,Perovskite_band_gap,Perovskite_deposition_solvents,DMF/DMSO,JV_default_Voc,JV_default_Jsc,JV_default_FF,JV_default_PCE
17551,10.1039/C6TC05325D,SLG | ITO | PEDOT:PSS | Perovskite | PCBM-60 | Al,0.16,MA,Sn,I,MASnI,1.22,DMF; DMSO,10,0.06,0.02,0.28,0
34072,10.1021/jacs.7b09018,SLG | FTO | TiO2-c | TiO2-mp | Perovskite | PTAA | Au,0.09,MA,Sn,I,MASnI,1.25,DMF; DMSO,9,0.422,23.76,0.382,0.17
42085,10.1002/ente.201700422,SLG | FTO | Perovskite | PCBM-60 | PEI | Ag,0.05,MA,Pb,I,MAPbI,1.3,DMF; DMSO,9,0.84,8.2,0.3,2
42086,10.1002/ente.201700422,SLG | FTO | PEDOT:PSS | Perovskite | PCBM-60 | PEI | Ag,0.05,MA,Pb,I,MAPbI,1.3,DMF; DMSO,9,0.91,20.2,0.69,12.8
42081,10.1002/ente.201700422,SLG | FTO | CuI | Perovskite | PCBM-60 | PEI | Ag,0.05,MA,Pb,I,MAPbI,1.3,DMF; DMSO,9,0.93,16,0.45,6.5
42083,10.1002/ente.201700422,SLG | FTO | CuI | Perovskite | PCBM-60 | PEI | Ag,0.05,MA,Pb,I,MAPbI,1.3,DMF; DMSO,9,1.03,15.9,0.54,8.8
42082,10.1002/ente.201700422,SLG | FTO | CuI | Perovskite | PCBM-60 | PEI | Ag,0.05,MA,Pb,I,MAPbI,1.3,DMF; DMSO,9,1.04,18.8,0.66,13
42084,10.1002/ente.201700422,SLG | FTO | CuI | Perovskite | PCBM-60 | PEI | Ag,0.05,MA,Pb,I,MAPbI,1.3,DMF; DMSO,9,1.04,19.9,0.69,14.3
37592,10.1002/solr.201800290,SLG | ITO | PCBM-60 | BCP | Perovskite | PEDOT:PSS | Al | Ag,0.1,FA,Sn,I,FASnI,1.3,DMF; DMSO,4,0.26,19.8,0.41,1.98
37596,10.1002/solr.201800290,SLG | ITO | PCBM-60 | BCP | Perovskite | PEDOT:PSS | Al | Ag,0.1,FA,Sn,I,FASnI,1.3,DMF; DMSO,4,0.26,19.93,0.4,2.07
29055,10.1021/acsaem.8b00866,SLG | FTO | TiO2-c | TiO2-mp | Perovskite | PTAA | TPFB | Au,0.135,Cs,Sn,I,CsSnI,1.3,DMF; DMSO,4,0.308,19.72,0.533,3.24
31205,10.1021/acsenergylett.7b00171,SLG | FTO | TiO2-c | TiO2-mp | Perovskite | PTAA | Au,0.13,Cs,Sn,I,CsSnI,1.3,DMF; DMSO,4,0,0.3,1.7,0
31204,10.1021/acsenergylett.7b00171,SLG | FTO | TiO2-c | TiO2-mp | Perovskite | PTAA | Au,0.13,Cs,Sn,I,CsSnI,1.3,DMF; DMSO,4,0.01,0.3,1.3,0
31199,10.1021/acsenergylett.7b00171,SLG | FTO | TiO2-c | TiO2-mp | Perovskite | PTAA | Au,0.13,Cs,Sn,I,CsSnI,1.3,DMF; DMSO,4,0.19,12.9,0.423,1.1
31203,10.1021/acsenergylett.7b00171,SLG | FTO | TiO2-c | TiO2-mp | Perovskite | PTAA | Au,0.13,Cs,Sn,I,CsSnI,1.3,DMF; DMSO,4,0.19,21.4,0.343,1.4
31200,10.1021/acsenergylett.7b00171,SLG | FTO | TiO2-c | TiO2-mp | Perovskite | PTAA | Au,0.13,Cs,Sn,I,CsSnI,1.3,DMF; DMSO,4,0.25,24,0.386,2.4
31216,10.1021/acsenergylett.7b00171,SLG | FTO | TiO2-c | TiO2-mp | Perovskite | PTAA | Au,0.13,Cs,Sn,I,CsSnI,1.3,DMF; DMSO,4,0.29,24.06,0.34,2.72
31202,10.1021/acsenergylett.7b00171,SLG | FTO | TiO2-c | TiO2-mp | Perovskite | PTAA | Au,0.13,Cs,Sn,I,CsSnI,1.3,DMF; DMSO,4,0.34,25.84,0.537,4.69
31201,10.1021/acsenergylett.7b00171,SLG | FTO | TiO2-c | TiO2-mp | Perovskite | PTAA | Au,0.13,Cs,Sn,I,CsSnI,1.3,DMF; DMSO,4,0.38,25.71,0.491,4.81
17393,10.1126/science.aaf9717,SLG | ITO | PEDOT:PSS | Perovskite | C60 | BCP | Au,0.12,FA,Sn,I,FASnI,1.3,DMF; DMSO,1.857142857,0.099,3.506,0.29,0.09
